AAD7536	FG	10	10	400	80	400	10	0.47	0.32	0.38
AAC1793	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC1841	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC1838	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC1843	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAE5482	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC1844	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
ZW92670	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
ZW92680	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC7993	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC7992	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAC7994	FG	50	50	3200	400	3200	50	0.37	0.3	0.23
AAE6266	FG	10	10	400	80	400	10	0.47	0.32	0.29
W71075P	KD	50	50	3200	400	3200	50	0.37	0.3	0.23
AAD7534	FG	10	10	400	80	400	10	0.47	0.32	0.38
ZS97840	FG	1	1	60	60	240	10	0.56	0.34	0.46
WZ00180	FG	1	1	20	20	100	10	0.69	0.39	0.4
ZS98370	FG	1	1	60	60	320	10	0.43	0.34	0.44
ZS97830	FG	1	1	60	60	320	10	0.56	0.34	0.46
ZS98020	FG	1	1	60	60	240	10	0.56	0.34	0.46
WZ00510	FG	1	1	4	4	16	1	0.89	0.29	0.44
ZS97850	FG	1	1	60	60	240	10	0.56	0.34	0.46
ZS98090	FG	1	1	60	60	240	10	0.56	0.34	0.46
ZS97890	FG	1	1	60	60	240	10	0.56	0.34	0.46
ZS98180	FG	1	1	60	60	240	10	0.56	0.34	0.46
